role,name,team
student,damithc,W16-1
student,joanneong,W16-1
student,Jacoblipech,W16-1
student,j-lum,W16-1
student,jamessspanggg,W16-1
student,junrong09,W16-1
student,kexiaowen,W16-2
student,emer7,W16-2
student,kylerwsm,W16-2
student,cchj1995,W16-2
student,JiaHaoLim,W16-2
student,AyushChatto,W16-3
student,tanlongbin,W16-3
student,alyip98,W16-3
student,andrewscw,W16-3
student,LimZhengJieBenjamin,W16-3
student,Tejas2805,W16-4
student,nbriannl,W16-4
student,jeffgan96,W16-4
student,zht96830,W16-4
student,kthSim,W16-4
student,sinhayash,W16-4
